sample	kind	channel	note	velocity
539905	off	10	38	0
539976	on	10	42	71
540000	off	10	49	0
540160	on	2	36	86
540160	off	2	36	0
542208	on	2	36	86
542208	off	2	36	0
545976	off	10	42	0
551901	on	10	51	73
551936	off	2	36	0
552000	on	2	36	86
553984	on	2	36	86
553984	off	2	36	0
557901	off	10	51	0
558080	on	2	36	86
558080	off	2	36	0
560128	on	2	36	86
560128	off	2	36	0
563712	off	2	36	0
564000	on	2	31	96
564228	on	10	42	77
570228	off	10	42	0
570368	on	2	36	86
570368	off	2	31	0
572416	on	2	36	86
572416	off	2	36	0
575961	on	10	36	111
576512	on	2	36	86
576512	off	2	36	0
578560	on	2	36	86
578560	off	2	36	0
581961	off	10	36	0
582144	on	2	36	86
582144	off	2	36	0
584192	on	2	36	86
584192	off	2	36	0
587794	on	10	42	77
588288	on	2	36	86
588288	off	2	36	0
590336	on	2	36	86
590336	off	2	36	0
593794	off	10	42	0
600064	on	2	36	86
600064	off	2	36	0
602112	on	2	36	86
602112	off	2	36	0
606208	on	2	36	86
606208	off	2	36	0
608256	on	2	36	86
608256	off	2	36	0
611800	on	10	42	68
617800	off	10	42	0
617984	off	2	36	0
618000	on	2	36	86
620032	on	2	36	86
620032	off	2	36	0
623801	on	10	38	99
624128	on	2	36	86
624128	off	2	36	0
626176	on	2	36	86
626176	off	2	36	0
629801	off	10	38	0
629929	on	10	38	40
635904	off	2	36	0
635929	off	10	38	0
635983	on	10	42	82
636000	on	2	36	86
637952	on	2	36	86
637952	off	2	36	0
641983	off	10	42	0
642560	on	2	36	86
642560	off	2	36	0
644608	on	2	36	86
644608	off	2	36	0
647780	on	10	51	73
648192	on	2	36	86
648192	off	2	36	0
650240	on	2	36	86
650240	off	2	36	0
653780	off	10	51	0
654336	on	2	36	86
654336	off	2	36	0
656384	on	2	36	86
656384	off	2	36	0
660132	on	10	42	59
666112	on	2	36	86
666112	off	2	36	0
666132	off	10	42	0
668160	on	2	36	86
668160	off	2	36	0
672053	on	10	36	107
672053	on	10	36	111
672053	off	10	36	0
672256	on	2	36	86
672256	off	2	36	0
674304	on	2	36	86
674304	off	2	36	0
678053	off	10	36	0
678258	on	10	42	59
683754	on	10	36	94
684032	on	2	36	86
684032	off	2	36	0
684258	off	10	42	0
686080	on	2	36	86
686080	off	2	36	0
689754	off	10	36	0
689805	on	10	42	76
695805	off	10	42	0
695985	on	10	38	111
701952	off	2	36	0
701985	off	10	38	0
702000	on	2	36	86
702041	on	10	42	63
704000	on	2	36	86
704000	off	2	36	0
707997	on	10	36	96
708041	off	10	42	0
713905	on	10	42	59
713997	off	10	36	0
714240	on	2	36	86
714240	off	2	36	0
716288	on	2	36	86
716288	off	2	36	0
719890	on	10	36	100
719905	off	10	42	0
720384	on	2	36	86
720384	off	2	36	0
722432	on	2	36	86
722432	off	2	36	0
725841	on	10	38	55
725890	off	10	36	0
726016	on	2	36	86
726016	off	2	36	0
726145	on	10	42	55
728064	on	2	36	86
728064	off	2	36	0
731841	off	10	38	0
732145	off	10	42	0
732160	on	2	36	86
732160	off	2	36	0
732191	on	10	36	93
734208	on	2	36	86
734208	off	2	36	0
737784	on	10	42	75
738191	off	10	36	0
738304	on	2	36	86
738304	off	2	36	0
740352	on	2	36	86
740352	off	2	36	0
743738	on	10	38	109
743784	off	10	42	0
749738	off	10	38	0
750080	on	2	36	86
750080	off	2	36	0
750227	on	10	42	58
752128	on	2	36	86
752128	off	2	36	0
756074	on	10	36	80
756227	off	10	42	0
761779	on	10	42	61
762074	off	10	36	0
767779	off	10	42	0
767914	on	10	36	114
768000	on	2	36	86
768000	off	2	36	0
770048	on	2	36	86
770048	off	2	36	0
773914	off	10	36	0
774159	on	10	42	53
780004	on	10	36	90
780159	off	10	42	0
780288	on	2	36	86
780288	off	2	36	0
782336	on	2	36	86
782336	off	2	36	0
785905	on	10	42	63
786004	off	10	36	0
786432	on	2	36	86
786432	off	2	36	0
788480	on	2	36	86
788480	off	2	36	0
791827	on	10	38	114
791905	off	10	42	0
797827	off	10	38	0
798095	on	10	42	71
798208	on	2	36	86
798208	off	2	36	0
800256	on	2	36	86
800256	off	2	36	0
804088	on	10	36	100
804095	off	10	42	0
804352	on	2	36	86
804352	off	2	36	0
806400	on	2	36	86
806400	off	2	36	0
809894	on	10	42	60
809984	off	2	36	0
810000	on	2	36	86
810088	off	10	36	0
812032	on	2	36	86
812032	off	2	36	0
815644	on	10	36	114
815894	off	10	42	0
816128	on	2	36	86
816128	off	2	36	0
818176	on	2	36	86
818176	off	2	36	0
821644	off	10	36	0
821915	on	10	38	40
822307	on	10	42	64
827915	off	10	38	0
828016	on	10	36	111
828307	off	10	42	0
833951	on	10	42	72
834016	off	10	36	0
834048	on	2	36	86
834048	off	2	36	0
836096	on	2	36	86
836096	off	2	36	0
839951	off	10	42	0
839989	on	10	38	111
845989	off	10	38	0
846095	on	10	42	58
851993	on	10	36	99
852095	off	10	42	0
852480	on	2	36	86
852480	off	2	36	0
854528	on	2	36	86
854528	off	2	36	0
857993	off	10	36	0
858032	on	10	42	59
863868	on	10	36	92
863868	on	10	36	95
863868	off	10	36	0
864010	on	10	53	85
864032	off	10	42	0
864256	on	2	36	86
864256	off	2	36	0
866304	on	2	36	86
866304	off	2	36	0
869868	off	10	36	0
870010	off	10	53	0
870400	on	2	36	86
870400	off	2	36	0
872448	on	2	36	86
872448	off	2	36	0
876032	on	2	36	86
876032	off	2	36	0
876126	on	10	42	73
878080	on	2	36	86
878080	off	2	36	0
882126	off	10	42	0
882176	on	2	36	86
882176	off	2	36	0
884224	on	2	36	86
884224	off	2	36	0
887775	on	10	38	113
893775	off	10	38	0
893952	off	2	36	0
894000	on	2	36	86
896000	on	2	36	86
896000	off	2	36	0
899828	on	10	42	75
900096	on	2	36	86
900096	off	2	36	0
902144	on	2	36	86
902144	off	2	36	0
905828	off	10	42	0
911817	on	10	36	101
917817	off	10	36	0
917898	on	10	38	51
918016	on	2	36	86
918016	off	2	36	0
920064	on	2	36	86
920064	off	2	36	0
923898	off	10	38	0
923904	on	10	42	60
929904	off	10	42	0
930304	on	2	36	86
930304	off	2	36	0
932352	on	2	36	86
932352	off	2	36	0
935896	on	10	38	117
936448	on	2	36	86
936448	off	2	36	0
938496	on	2	36	86
938496	off	2	36	0
941896	off	10	38	0
942080	on	2	36	86
942080	off	2	36	0
944128	on	2	36	86
944128	off	2	36	0
947884	on	10	42	69
948224	on	2	36	86
948224	off	2	36	0
950272	on	2	36	86
950272	off	2	36	0
953884	off	10	42	0
959779	on	10	36	105
960000	on	2	36	86
960000	off	2	36	0
962048	on	2	36	86
962048	off	2	36	0
965779	off	10	36	0
966144	on	2	36	86
966144	off	2	36	0
968192	on	2	36	86
968192	off	2	36	0
972057	on	10	42	66
977920	off	2	36	0
978000	on	2	36	86
978057	off	10	42	0
979968	on	2	36	86
979968	off	2	36	0
983998	on	10	38	111
984576	on	2	36	86
984576	off	2	36	0
986624	on	2	36	86
986624	off	2	36	0
989998	off	10	38	0
996101	on	10	42	66
996352	on	2	36	86
996352	off	2	36	0
998400	on	2	36	86
998400	off	2	36	0
1002101	off	10	42	0
1002496	on	2	36	86
1002496	off	2	36	0
1004544	on	2	36	86
1004544	off	2	36	0
1007806	on	10	53	79
