sample	kind	channel	note	velocity
0	on	10	36	110
2880	off	10	36	0
24000	on	10	37	85
26880	off	10	37	0
48000	on	10	37	85
50880	off	10	37	0
72000	on	10	37	85
74880	off	10	37	0
96000	on	10	36	110
98880	off	10	36	0
120000	on	10	37	85
122880	off	10	37	0
144000	on	10	37	85
146880	off	10	37	0
168000	on	10	37	85
170880	off	10	37	0
192000	on	10	36	110
194880	off	10	36	0
216000	on	10	37	85
218880	off	10	37	0
240000	on	10	37	85
242880	off	10	37	0
264000	on	10	37	85
266880	off	10	37	0
288000	on	10	36	110
290880	off	10	36	0
312000	on	10	37	85
314880	off	10	37	0
336000	on	10	37	85
338880	off	10	37	0
360000	on	10	37	85
362880	off	10	37	0
384000	on	10	36	110
386880	off	10	36	0
408000	on	10	37	85
410880	off	10	37	0
432000	on	10	37	85
434880	off	10	37	0
456000	on	10	37	85
458880	off	10	37	0
479744	off	10	36	0
479744	off	10	37	0
479860	on	10	36	115
480000	on	2	36	74
480024	on	10	53	85
485400	off	2	36	0
485860	off	10	36	0
486000	on	2	36	74
486024	off	10	53	0
491400	off	2	36	0
491881	on	10	42	68
492000	on	2	36	74
497881	off	10	42	0
502800	off	2	36	0
503913	on	10	38	114
504000	on	2	36	74
509400	off	2	36	0
509913	off	10	38	0
510000	on	2	36	74
515400	off	2	36	0
515874	on	10	42	73
516000	on	2	36	74
521400	off	2	36	0
521874	off	10	42	0
522000	on	2	36	74
527966	on	10	36	111
532800	off	2	36	0
533966	off	10	36	0
534000	on	2	36	74
539400	off	2	36	0
539976	on	10	42	81
540000	on	2	36	74
545400	off	2	36	0
545976	off	10	42	0
546000	on	2	36	74
551400	off	2	36	0
551780	on	10	38	116
552000	on	2	36	74
557400	off	2	36	0
557780	off	10	38	0
558000	on	2	36	74
563400	off	2	36	0
564000	on	2	36	74
564228	on	10	42	88
569400	off	2	36	0
570000	on	2	36	74
570228	off	10	42	0
575400	off	2	36	0
575961	on	10	36	115
576000	on	2	36	74
581400	off	2	36	0
581961	off	10	36	0
582000	on	2	36	74
587400	off	2	36	0
587794	on	10	42	88
588000	on	2	36	74
593400	off	2	36	0
593794	off	10	42	0
594000	on	2	36	74
599400	off	2	36	0
600000	on	2	36	74
600032	on	10	38	114
605400	off	2	36	0
606000	on	2	36	74
606032	off	10	38	0
611400	off	2	36	0
611800	on	10	42	79
612000	on	2	36	74
617800	off	10	42	0
622800	off	2	36	0
623871	on	10	53	85
623906	on	10	36	109
624000	on	2	36	74
629400	off	2	36	0
629871	off	10	53	0
629906	off	10	36	0
630000	on	2	36	74
635400	off	2	36	0
635983	on	10	42	92
636000	on	2	36	74
641400	off	2	36	0
641983	off	10	42	0
642000	on	2	36	74
648019	on	10	38	116
652800	off	2	36	0
654000	on	2	36	74
654019	off	10	38	0
659400	off	2	36	0
660000	on	2	36	74
660132	on	10	42	69
666132	off	10	42	0
670800	off	2	36	0
671957	on	10	53	103
672000	on	2	36	74
672053	on	10	36	113
677400	off	2	36	0
677957	off	10	53	0
678000	on	2	36	74
678053	off	10	36	0
683400	off	2	36	0
684000	on	2	36	74
684038	on	10	42	82
689400	off	2	36	0
690000	on	2	36	74
690038	off	10	42	0
695400	off	2	36	0
695985	on	10	38	114
696000	on	2	36	74
701985	off	10	38	0
706800	off	2	36	0
707775	on	10	42	62
708000	on	2	36	74
713400	off	2	36	0
713775	off	10	42	0
714000	on	2	36	74
719400	off	2	36	0
719890	on	10	36	103
720000	on	2	36	74
725400	off	2	36	0
725890	off	10	36	0
726000	on	2	36	74
732101	on	10	42	94
736800	off	2	36	0
738000	on	2	36	74
738101	off	10	42	0
743400	off	2	36	0
743738	on	10	38	112
744000	on	2	36	74
749738	off	10	38	0
754800	off	2	36	0
756000	on	2	36	74
756047	on	10	42	82
761400	off	2	36	0
762000	on	2	36	74
762047	off	10	42	0
767400	off	2	36	0
767914	on	10	36	117
768000	on	2	36	74
773400	off	2	36	0
773914	off	10	36	0
774000	on	2	36	74
774311	on	10	41	84
779400	off	2	36	0
780000	on	2	36	74
780002	on	10	45	113
780311	off	10	41	0
785886	on	10	48	113
786002	off	10	45	0
790800	off	2	36	0
791827	on	10	38	117
791886	off	10	48	0
792000	on	2	36	74
797400	off	2	36	0
797827	off	10	38	0
798000	on	2	36	74
798026	on	10	48	107
804026	off	10	48	0
804096	on	10	45	91
808800	off	2	36	0
810000	on	2	36	74
810047	on	10	41	93
810096	off	10	45	0
815400	off	2	36	0
815710	on	10	38	113
816000	on	2	36	74
816047	off	10	41	0
821710	off	10	38	0
822379	on	10	48	108
826800	off	2	36	0
828000	on	2	36	74
828065	on	10	45	115
828379	off	10	48	0
833400	off	2	36	0
833630	on	10	41	107
834000	on	2	36	74
834065	off	10	45	0
839400	off	2	36	0
839630	off	10	41	0
840000	on	2	36	74
840052	on	10	36	117
845400	off	2	36	0
846000	on	2	36	74
846052	off	10	36	0
846136	on	10	48	104
851877	on	10	45	106
852136	off	10	48	0
856800	off	2	36	0
857877	off	10	45	0
857910	on	10	49	115
858000	on	2	36	74
858117	on	10	41	112
863400	off	2	36	0
864000	on	2	36	74
864117	off	10	41	0
869400	off	2	36	0
870201	on	2	36	86
876126	on	10	42	80
876369	on	2	36	86
876369	off	2	36	0
882023	on	2	36	86
882023	off	2	36	0
882126	off	10	42	0
887775	on	10	38	117
888000	on	10	49	114
888000	off	10	49	0
