sample	kind	channel	note	velocity
0	on	10	36	110
2880	off	10	36	0
24000	on	10	37	85
26880	off	10	37	0
48000	on	10	37	85
50880	off	10	37	0
72000	on	10	37	85
74880	off	10	37	0
96000	on	10	36	110
98880	off	10	36	0
120000	on	10	37	85
122880	off	10	37	0
144000	on	10	37	85
146880	off	10	37	0
168000	on	10	37	85
170880	off	10	37	0
192000	on	10	36	110
194880	off	10	36	0
216000	on	10	37	85
218880	off	10	37	0
240000	on	10	37	85
242880	off	10	37	0
264000	on	10	37	85
266880	off	10	37	0
288000	on	10	36	110
290880	off	10	36	0
312000	on	10	37	85
314880	off	10	37	0
336000	on	10	37	85
338880	off	10	37	0
360000	on	10	37	85
362880	off	10	37	0
384000	on	10	36	110
386880	off	10	36	0
408000	on	10	37	85
410880	off	10	37	0
432000	on	10	37	85
434880	off	10	37	0
456000	on	10	37	85
458880	off	10	37	0
479744	on	2	36	74
479744	on	10	53	121
479744	off	10	36	0
479744	off	10	37	0
479911	on	10	36	127
485744	on	2	36	74
485744	off	2	36	0
485744	off	10	53	0
485911	off	10	36	0
491744	on	2	36	74
491744	off	2	36	0
492031	on	10	42	90
497743	on	2	36	74
497744	off	2	36	0
498031	off	10	42	0
503743	off	2	36	0
503744	on	2	36	74
504177	on	10	38	127
509743	on	2	36	74
509744	off	2	36	0
510177	off	10	38	0
515743	on	2	36	74
515743	off	2	36	0
515975	on	10	42	82
521743	on	2	36	74
521743	off	2	36	0
521975	off	10	42	0
527743	off	2	36	0
527744	on	2	36	74
527872	on	10	36	127
533743	on	2	36	74
533744	off	2	36	0
533872	off	10	36	0
539648	on	10	42	103
539743	off	2	36	0
539744	on	2	36	74
545648	off	10	42	0
545744	on	2	36	74
545744	off	2	36	0
551743	on	2	36	74
551744	off	2	36	0
551936	on	10	38	127
557743	off	2	36	0
557744	on	2	36	74
557936	off	10	38	0
563743	on	2	36	74
563744	off	2	36	0
563933	on	10	42	99
569743	on	2	36	74
569743	off	2	36	0
569933	off	10	42	0
575743	off	2	36	0
575744	on	2	36	74
576000	on	10	36	127
581744	on	2	36	74
581744	off	2	36	0
582000	off	10	36	0
587743	on	2	36	74
587744	off	2	36	0
588127	on	10	46	96
593743	off	2	36	0
593744	on	2	36	74
599744	on	2	36	74
599744	off	2	36	0
600063	on	10	38	127
605743	on	2	36	74
605744	off	2	36	0
